object_id,canonical_name,object_type,total_edges,background_edges,non_background_edges,uses_count,compares_against_count,extends_count,critiques_count,applies_count,use_share_non_background,compare_critique_share_non_background,critique_share_non_background,background_share,evidence_use_count,distinct_contexts,mean_confidence,role_quadrant,role_quadrant_rule_version
obj_penn_treebank,Penn Treebank,dataset_or_database,5820,4451,1369,973,256,61,49,30,0.7107377647918188,0.22279035792549307,0.03579254930606282,0.7647766323024054,1369,5820,0.878561855670103,canonical_background,v1_heuristic
obj_semeval,SemEval,benchmark_or_protocol,8306,7116,1190,625,455,71,24,15,0.5252100840336135,0.40252100840336136,0.020168067226890758,0.8567300746448351,1190,8306,0.8867132193594992,canonical_background,v1_heuristic
obj_seq2seq,seq2seq,model,8669,7482,1187,475,464,154,78,16,0.4001684919966302,0.45661331086773377,0.06571187868576242,0.8630753258738032,1187,8669,0.8894993655554273,canonical_background,v1_heuristic
obj_meteor,METEOR,metric,3684,2498,1186,779,299,30,73,5,0.6568296795952783,0.3136593591905565,0.06155143338954469,0.6780673181324647,1186,3684,0.9098588490770901,operational_infrastructure,v1_heuristic
obj_word2vec,word2vec,model,4694,3545,1149,718,326,76,26,3,0.6248912097476066,0.3063533507397737,0.022628372497824196,0.7552194290583724,1149,4694,0.8903280783979548,canonical_background,v1_heuristic
obj_attention_mechanism,attention mechanism,method,8513,7494,1019,407,327,189,85,11,0.3994111874386654,0.4043179587831207,0.08341511285574092,0.880300716551157,1019,8513,0.8784271114765653,canonical_background,v1_heuristic
obj_wmt,WMT,benchmark_or_protocol,3343,2358,985,632,276,56,14,7,0.6416243654822334,0.29441624365482233,0.014213197969543147,0.7053544720311098,985,3343,0.8832994316482201,operational_infrastructure,v1_heuristic
obj_elmo,ELMo,model,4254,3306,948,481,328,91,33,15,0.5073839662447257,0.3808016877637131,0.03481012658227848,0.7771509167842031,948,4254,0.8934273624823695,canonical_background,v1_heuristic
obj_hmm,HMM,method,5912,4975,937,414,337,122,58,6,0.4418356456776948,0.4215581643543223,0.061899679829242264,0.8415087956698241,937,5912,0.8880818673883627,canonical_background,v1_heuristic
obj_squad,SQuAD,dataset_or_database,3438,2646,792,467,248,34,29,14,0.5896464646464646,0.34974747474747475,0.036616161616161616,0.7696335078534031,792,3438,0.8905322862129145,canonical_background,v1_heuristic
obj_stanford_corenlp,Stanford CoreNLP,software_or_tool,1069,392,677,610,30,13,6,18,0.9010339734121122,0.053175775480059084,0.008862629246676515,0.3666978484565014,677,1069,0.9205332086061739,operational_infrastructure,v1_heuristic
obj_ontonotes,OntoNotes,dataset_or_database,1981,1505,476,317,114,19,23,3,0.6659663865546218,0.28781512605042014,0.04831932773109244,0.7597173144876325,476,1981,0.8881019687026753,canonical_background,v1_heuristic
obj_snli,SNLI,dataset_or_database,2461,1994,467,288,132,18,19,10,0.6167023554603854,0.3233404710920771,0.04068522483940043,0.8102397399431126,467,2461,0.8797602600568875,canonical_background,v1_heuristic
obj_glue,GLUE,benchmark_or_protocol,1733,1312,421,239,154,17,8,3,0.5676959619952494,0.3847980997624703,0.019002375296912115,0.757068667051356,421,1733,0.88400461627236,canonical_background,v1_heuristic
obj_nltk,NLTK,software_or_tool,597,253,344,304,32,2,3,3,0.8837209302325582,0.10174418604651163,0.00872093023255814,0.423785594639866,344,597,0.9138693467336684,operational_infrastructure,v1_heuristic
obj_propbank,PropBank,dataset_or_database,2944,2634,310,181,74,34,13,8,0.5838709677419355,0.2806451612903226,0.041935483870967745,0.8947010869565217,310,2944,0.8729585597826087,canonical_background,v1_heuristic
obj_framenet,FrameNet,dataset_or_database,3710,3417,293,152,62,48,18,13,0.5187713310580204,0.27303754266211605,0.06143344709897611,0.9210242587601079,293,3710,0.8735741239892183,canonical_background,v1_heuristic
obj_opus,OPUS,software_or_tool,680,410,270,234,29,1,2,4,0.8666666666666667,0.11481481481481481,0.007407407407407408,0.6029411764705882,270,680,0.8938823529411766,operational_infrastructure,v1_heuristic
obj_conll_2003,CoNLL-2003,benchmark_or_protocol,830,613,217,146,62,7,0,2,0.6728110599078341,0.2857142857142857,0.0,0.7385542168674699,217,830,0.886144578313253,operational_infrastructure,v1_heuristic
obj_spacy,spaCy,software_or_tool,413,224,189,153,24,8,3,1,0.8095238095238095,0.14285714285714285,0.015873015873015872,0.5423728813559322,189,413,0.9028329297820823,operational_infrastructure,v1_heuristic
obj_conll_2012,CoNLL-2012,benchmark_or_protocol,599,438,161,100,45,10,1,5,0.6211180124223602,0.2857142857142857,0.006211180124223602,0.7312186978297162,161,599,0.8864774624373957,operational_infrastructure,v1_heuristic
obj_multinli,MultiNLI,dataset_or_database,780,630,150,106,31,7,4,2,0.7066666666666667,0.23333333333333334,0.02666666666666667,0.8076923076923077,150,780,0.8844102564102565,canonical_background,v1_heuristic
obj_superglue,SuperGLUE,benchmark_or_protocol,255,228,27,15,10,1,1,0,0.5555555555555556,0.4074074074074074,0.037037037037037035,0.8941176470588236,27,255,0.8719607843137255,canonical_background,v1_heuristic
