canonical_name,object_type,applies,background,compares_against,critiques,extends,uses,unclear,total
SQuAD,task,0,4,0,0,0,0,0,4
SemEval,task,0,3,0,0,0,0,0,3
PropBank,unknown,0,3,0,0,0,0,0,3
attention mechanism,dataset_or_database,0,3,0,0,0,0,0,3
LSTM,theory_or_concept,0,3,0,0,0,0,0,3
accuracy,theory_or_concept,0,3,0,0,0,0,0,3
CRF,theory_or_concept,0,3,0,0,0,0,0,3
BLEU,claim_or_finding,0,2,0,0,0,0,0,2
ROUGE,unknown,0,2,0,0,0,0,0,2
seq2seq,theory_or_concept,0,2,0,0,0,0,0,2
SemEval,claim_or_finding,0,1,1,0,0,0,0,2
SemEval,software_or_tool,1,0,0,0,0,1,0,2
accuracy,task,0,1,0,0,1,0,0,2
accuracy,software_or_tool,0,1,0,0,0,1,0,2
HMM,claim_or_finding,0,1,0,0,0,0,0,1
attention mechanism,unknown,0,1,0,0,0,0,0,1
Penn Treebank,theory_or_concept,0,0,0,1,0,0,0,1
Moses,task,0,1,0,0,0,0,0,1
BERT,unknown,0,1,0,0,0,0,0,1
Moses,claim_or_finding,0,1,0,0,0,0,0,1
accuracy,unknown,0,1,0,0,0,0,0,1
attention mechanism,claim_or_finding,0,1,0,0,0,0,0,1
METEOR,unknown,0,1,0,0,0,0,0,1
LSTM,unknown,0,1,0,0,0,0,0,1
WordNet,unknown,0,1,0,0,0,0,0,1
Moses,theory_or_concept,0,1,0,0,0,0,0,1
SQuAD,claim_or_finding,0,1,0,0,0,0,0,1
FrameNet,unknown,0,1,0,0,0,0,0,1
attention mechanism,software_or_tool,0,0,0,0,0,1,0,1
HMM,theory_or_concept,0,1,0,0,0,0,0,1
Transformer,unknown,0,1,0,0,0,0,0,1
attention mechanism,theory_or_concept,0,1,0,0,0,0,0,1
FrameNet,software_or_tool,0,1,0,0,0,0,0,1
